price,region,address,bedrooms,bathrooms
549900,"Clarington, ON","#403 -84 ASPEN SPRINGS DR, Clarington, Ontario",2,2
649000,"Clarington, ON","35-37 ONTARIO ST, Clarington, Ontario",1,2
699900,"Clarington, ON","25 SECOND ST, Clarington, Ontario",3,2
749900,"Clarington, ON","57 MALLORY ST, Clarington, Ontario",2,3
799900,"Clarington, ON","120 MCFEETERS CRES, Clarington, Ontario",3,2
799000,"Clarington, ON","68 RICHARD DAVIES CRES, Clarington, Ontario",4,4
1199900,"Clarington, ON","91 JENNINGS DR, Clarington, Ontario",4,4
699900,"Clarington, ON","15 SOPER CRT, Clarington, Ontario",3,4
679000,"Clarington, ON","32 SANDRINGHAM DR, Clarington, Ontario",3,2
799900,"Clarington, ON","130 GEORGE ST E, Clarington, Ontario",3,3
699900,"Clarington, ON","300 SWINDELLS ST, Clarington, Ontario",3,3
799900,"Clarington, ON","89 SIDNEY RUNDLE AVE, Clarington, Ontario",3,4
969900,"Clarington, ON","104 JEROME WAY, Clarington, Ontario",3,3
599000,"Clarington, ON","104 ELGIN ST, Clarington, Ontario",3,1
988888,"Clarington, ON","9 SAUNDERS AVE, Clarington, Ontario",4,3
1150000,"Clarington, ON","35 WABBOKISH CRT, Clarington, Ontario",3,3
749900,"Clarington, ON","102 KING WILLIAM WAY, Clarington, Ontario",3,3
999999,"Clarington, ON","144 NELSON ST, Clarington, Ontario",4,3
774900,"Clarington, ON","67 CALE AVE, Clarington, Ontario",3,3
1099000,"Clarington, ON","51 PIPER CRES, Clarington, Ontario",3,4
699900,"Clarington, ON","31 NIDDERY ST, Clarington, Ontario",2,1
699900,"Clarington, ON","69 BLUFFS RD, Clarington, Ontario",2,2
799000,"Clarington, ON","19 YORKVILLE DR, Clarington, Ontario",2,3
899900,"Clarington, ON","27 CONNELL LANE, Clarington, Ontario",3,2
749900,"Clarington, ON","227 SPRUCEWOOD CRES, Clarington, Ontario",3,4
1080000,"Clarington, ON","42 WHITEHAND DR, Clarington, Ontario",4,4
1149900,"Clarington, ON","7 HENRY SMITH AVE, Clarington, Ontario",4,3
699999,"Clarington, ON","101 YORKVILLE DR, Clarington, Ontario",3,4
699999,"Clarington, ON","101 YORKVILLE Drive, Courtice, Ontario",3,4
1059000,"Clarington, ON","75 WILLIAM COWLES DR, Clarington, Ontario",3,4
399900,"Clarington, ON","35 WATER ST, Clarington, Ontario",1,1
1300000,"Clarington, ON","22 WILLIAM FAIR DR, Clarington, Ontario",4,3
699900,"Clarington, ON","112 LAKEVIEW RD, Clarington, Ontario",3,1
699999,"Clarington, ON","162 EDWARD ST W, Clarington, Ontario",3,2
1249000,"Clarington, ON","118 EDWIN CARR ST, Clarington, Ontario",3,3
1149000,"Clarington, ON","26 WILLOUGHBY PL, Clarington, Ontario",4,4
1099000,"Clarington, ON","30 SKINNER CRT, Clarington, Ontario",3,3
2195000,"Clarington, ON","6358 ENFIELD RD, Clarington, Ontario",4,3
878800,"Clarington, ON","23 ROSER CRES, Clarington, Ontario",4,3
899000,"Clarington, ON","63 SHORT CRES, Clarington, Ontario",3,3
399900,"Clarington, ON","8 KAWARTHA RD, Clarington, Ontario",2,2
799999,"Clarington, ON","54 FERRIS SQ, Clarington, Ontario",3,4
1750000,"Clarington, ON","123 COURTNEY ST, Clarington, Ontario",4,4
799900,"Clarington, ON","48 BROOKHOUSE DR, Clarington, Ontario",2,2
999999,"Clarington, ON","226 KENNETH COLE DR, Clarington, Ontario",4,4
999999,"Clarington, ON","226 KENNETH COLE Drive, Bowmanville, Ontario",4,4
799900,"Clarington, ON","19 PRESTONWAY DR, Clarington, Ontario",3,3
1399000,"Clarington, ON","99 MCPHAIL AVE, Clarington, Ontario",4,4
1049900,"Clarington, ON","68 WINDHAM CRES, Clarington, Ontario",3,4
998000,"Clarington, ON","48 LANDERVILLE LANE, Clarington, Ontario",4,3
899000,"Clarington, ON","46 DAISEYFIELD AVE, Clarington, Ontario",3,4
899900,"Clarington, ON","247 BEAVER ST N, Clarington, Ontario",3,2
799000,"Clarington, ON","72 HOBBS DR, Clarington, Ontario",3,2
1399000,"Clarington, ON","99 MCPHAIL Avenue, Bowmanville, Ontario",4,4
699900,"Clarington, ON","23 FIRWOOD AVE, Clarington, Ontario",3,4
849900,"Clarington, ON","94 COTTON ST, Clarington, Ontario",3,3
1450000,"Clarington, ON","234 CROMBIE ST, Clarington, Ontario",4,3
2299000,"Clarington, ON","5 BUTTERY CRT, Clarington, Ontario",3,4
799000,"Clarington, ON","10 WALBRIDGE CRT, Clarington, Ontario",3,3
850000,"Clarington, ON","17 SUMMERLEA CRT, Clarington, Ontario",5,3
785000,"Clarington, ON","571 LONGWORTH Avenue Unit# 24, Bowmanville, Ontario",3,2
798000,"Clarington, ON","1 LOANA LANE N, Clarington, Ontario",3,3
799999,"Clarington, ON","62 RICHARD DAVIES CRES, Clarington, Ontario",3,3
799888,"Clarington, ON","83 CRYDERMAN LANE, Clarington, Ontario",3,3
899000,"Clarington, ON","13 KINTYRE ST, Clarington, Ontario",3,3
749900,"Clarington, ON","69A TOWNLINE RD S, Clarington, Ontario",3,2
1760000,"Clarington, ON","139 YACHT DR, Clarington, Ontario",5,6
1499900,"Clarington, ON","46 KILPATRICK CRT, Clarington, Ontario",4,5
929000,"Clarington, ON","74 HIGH ST, Clarington, Ontario",3,2
1225000,"Clarington, ON","109 LYLE DR, Clarington, Ontario",2,2
1760000,"Clarington, ON","139 YACHT Drive, Bowmanville, Ontario",5,6
499900,"Clarington, ON","#29 -1430 GORD VINSON AVE, Clarington, Ontario",1,1
899900,"Clarington, ON","123 REMMINGTON ST, Clarington, Ontario",4,3
1599900,"Clarington, ON","3548 CONCESSION 7 RD, Clarington, Ontario",3,2
