price,region,address,bedrooms,bathrooms
799000,8,"86 LARKIN Lane, Bowmanville, Ontario",3,3
879900,8,"28 KATERSON LANE, Clarington, Ontario",3,2
1499999,8,"185 DOUGLAS KEMP CRES, Clarington, Ontario",4,4
799000,8,"86 LARKIN LANE, Clarington, Ontario",3,3
549900,8,"147 COVE RD, Clarington, Ontario",2,0
1799999,8,"493 TOWNLINE RD N, Clarington, Ontario",4,3
1639000,8,"202 CROMBIE ST, Clarington, Ontario",4,4
1499999,8,"1363 TOWNLINE RD N, Clarington, Ontario",4,3
897900,8,"16 LONGWOOD CRT, Clarington, Ontario",3,3
1099900,8,"225 LIBERTY ST, Clarington, Ontario",3,2
3899000,8,"10131 LONG SAULT RD, Clarington, Ontario",3,4
879990,8,"262 SWINDELLS ST, Clarington, Ontario",3,3
1549900,8,"197 DOUGLAS KEMP CRES, Clarington, Ontario",4,4
999000,8,"75 LIBERTY ST N, Clarington, Ontario",3,2
1799000,8,"2 LARKIN LANE, Clarington, Ontario",4,5
1099000,8,"91 LAPRADE SQ, Clarington, Ontario",4,3
899999,8,"10 DEPEW LANE, Clarington, Ontario",3,3
1080000,8,"112 MCBRIDE AVE, Clarington, Ontario",3,3
1200000,8,"37 LYLE DR, Clarington, Ontario",2,2
999990,8,"2480 RUNDLE RD, Clarington, Ontario",4,4
1073990,8,"#1205 -55 CLARINGTON BLVD, Clarington, Ontario",2,3
879000,8,"104 DUKE ST, Clarington, Ontario",2,1
1799000,8,"3657 CONCESSION 4 RD, Clarington, Ontario",2,1
3500000,8,"1953 HIGHWAY 2 RD, Clarington, Ontario",3,1
3500000,8,"2571 SOLINA RD, Clarington, Ontario",3,2
1800000,8,"3741 LAKESHORE RD E, Clarington, Ontario",4,5
3950000,8,"1610 CONCESSION ROAD 7 RD, Clarington, Ontario",3,4
2599900,8,"24 TAMBLYN RD, Clarington, Ontario",3,3
599900,4,"616 SIMCOE ST, Brock, Ontario",2,1
999900,4,"2105 CONCESSION 6 RD, Brock, Ontario",3,3
599900,4,"616 SIMCOE Street, Beaverton, Ontario",2,1
